candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,final_score,connected_cells,layout_score,diagnostics
0,false,-1,10.00,100,5489,1617,0,14,2,-14521,14,1281042,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=E;strong=[cell-a-001,cell-d-001,cell-f-001,cell-i-003]|[cell-c-001,cell-h-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-e-001]|[cell-g-001]|[cell-i-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-d-001,cell-f-001,cell-i-003]|[cell-c-001,cell-h-001,cell-j-001]|[cell-b-001,cell-i-002]|[cell-e-001]|[cell-g-001]|[cell-i-001]|[red-myco-001]|[red-myco-002]"
232,false,-1,14.30,143,9326,2827,0,14,4,1919,14,1691796,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
233,false,-1,14.60,146,10163,4335,0,14,7,19952,14,1691795,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003]"
234,false,-1,14.30,143,9311,2825,0,14,4,2024,14,1691787,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
235,false,-1,14.50,145,10089,4328,0,14,7,19957,14,1691064,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003]"
236,false,-1,14.40,144,10071,4334,0,14,7,20026,14,1691063,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003]"
237,false,-1,14.40,144,10137,4309,0,14,7,19844,14,1691053,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003]"
238,false,-1,14.10,141,9285,2757,0,14,4,1230,14,1691049,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
239,false,-1,14.40,144,10071,4334,0,14,7,20026,14,1691047,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003]"
240,false,-1,14.50,145,10100,4236,0,14,7,18845,14,1691044,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003]"
241,false,-1,14.50,145,10100,4236,0,14,7,18845,14,1691044,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003]"
242,false,-1,14.50,145,10089,4328,0,14,7,19957,14,1691024,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003]"
243,false,-1,14.40,144,10137,4309,0,14,7,19844,14,1691018,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003]"
244,false,-1,14.10,141,9237,2757,0,14,4,1106,14,1691005,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
245,false,-1,14.30,143,9211,2827,0,14,4,2057,14,1690986,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
246,false,-1,14.10,141,9281,2757,0,14,4,1114,14,1690983,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
247,false,-1,14.40,144,10157,4335,0,14,7,19978,14,1690974,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-h-001]|[cell-i-003]"
248,false,-1,14.10,141,9285,2757,0,14,4,1230,14,1690931,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
249,false,-1,14.10,141,9181,2811,0,14,4,1864,14,1690930,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
250,false,-1,14.10,141,9281,2757,0,14,4,1114,14,1690925,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
251,false,-1,14.10,141,9188,2811,0,14,4,1786,14,1690919,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
252,false,-1,14.30,143,9211,2827,0,14,4,2057,14,1690909,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
253,false,-1,14.10,141,9188,2811,0,14,4,1786,14,1690873,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
254,false,-1,14.10,141,9281,2757,0,14,4,1114,14,1690873,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
255,false,-1,14.30,143,9211,2827,0,14,4,2057,14,1690858,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
256,false,-1,14.10,141,9285,2757,0,14,4,1230,14,1690838,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-002]"
257,false,-1,13.40,134,9708,4559,0,14,6,22954,14,1690827,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-i-003]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-i-003]|[red-myco-001]"
258,false,-1,13.20,132,9697,4601,0,14,6,23497,14,1690823,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-i-003]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-i-003]|[red-myco-001]"
259,false,-1,13.60,136,9703,4560,0,14,6,22954,14,1690814,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-i-003]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-i-003]|[red-myco-001]"
260,false,-1,13.10,131,9696,4600,0,14,6,23490,14,1690811,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-i-003]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-i-003]|[red-myco-001]"
261,false,-1,13.90,139,8967,4750,0,14,5,24961,14,1690211,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
262,false,-1,13.90,139,9018,4751,0,14,5,24980,14,1690209,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
263,false,-1,13.70,137,9004,4750,0,14,5,24956,14,1690147,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
264,false,-1,13.80,138,8956,4750,0,14,5,24953,14,1690146,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
265,false,-1,15.00,150,8737,4464,0,14,6,21629,14,1690029,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-h-001]|[cell-i-003]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-h-001]|[cell-i-003]|[red-myco-001]"
266,false,-1,15.00,150,8741,4466,0,14,6,21523,14,1689997,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-h-001]|[cell-i-003]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-h-001]|[cell-i-003]|[red-myco-001]"
267,false,-1,15.00,150,8737,4464,0,14,6,21501,14,1689996,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-h-001]|[cell-i-003]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-h-001]|[cell-i-003]|[red-myco-001]"
268,false,-1,13.80,138,7666,2956,0,14,3,3518,14,1689982,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-001]|[red-myco-002]"
269,false,-1,13.80,138,7666,2956,0,14,3,3518,14,1689981,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002]|[cell-c-001,cell-h-001]|[cell-i-003]|[cell-j-001]|[red-myco-001]|[red-myco-002]"
270,false,-1,15.00,150,8737,4465,0,14,6,21510,14,1689969,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-001,cell-i-003,red-myco-001;missingResources=H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-h-001]|[cell-i-003]|[red-myco-001];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-002]|[cell-h-001]|[cell-i-003]|[red-myco-001]"
